liste Clients Mag
Code Libre;Nom;CP Fact;Ville Fact;Téléphone Fact;Commentaire
C0063;AGITATO;42800;RIVE DE GIER ;478812715;
C00000003003;AGV;42500;LE CHAMBON FEUGEROLLES;;
C00000001017;AICAR;1480;JASSAN RIOTIER;;
C0190;AIEI;42100;SAINT-ETIENNE;663414267;
C00000002350;AIGUILHE ANIMATION;43000;AIGUILHE;;
C00000001883;AIMCP;42100;ST ETIENNE;;
C00000002892;AIMV;42000;SAINT-ETIENNE;477433868;
C00000001420;AISPAS;42100;SAINT ETIENNE;;
C00000002849;AIVALIOTIS;42170;ST JUST ST RAMBERT;;
C0020;AIX-EN-OEUVRES;13070;AIX EN PROVENCE;;
C0021;AJEF 42-43;42100;ST ETIENNE ;477958909;
C00000002669;AKTIV DREAM NATION FESTIVAL;92110;CLICHY;147317135;
C0022;ALBAYNAC;42100;SAINT-ETIENNE;477496050;
C00000003025;ALCHEMIA LAB;69003;LYON;;
C00000002480;ALEXANDRE PERONNY;63100;CLERMONT-FERRAND;638164779;
C0023;ALIAS;75009;PARIS ;;
C0024;ALIAS ORGANISATION;42290;SORBIERS;;
C00000001628;ALLEGRIA PRODUCTION;8702;ZOLLIKON;;
C00000002250;ALLEMAND Quentin;42530;ST GENEST LERPT;;
C00000001911;ALPE D HUEZ TOURISME;38750;ALPE D HUEZ;04 76 11 44 56;
C00000002733;ALR THEATRE;42150;LA RICAMARIE;;
C00000002770;ALTAVIA.AURA;42000;SAINT-ETIENNE;477928282;
C00000001878;ALV FRANCE;94300;VINCENNES;973731703;
C00000002738;ALWANE MUSIC;38100;GRENOBLE;;
C00000002534;ALYOSHA;42000;SAINT-ETIENNE;;
C00000003072;AM EVENTS;26240;SAINT BARTHELEMY DE VALS;;
C00000001514;AMADEUS EVENEMENTS;74300;CLUSES;04 50 18 12 63;
C00000003251;AMAND EVENT;38230;CHARVIEU CHAVAGNEUX;;
C00000002553;AMARAT Willy;;;;
C00000002150;AMAURY SPORT ORGANISATION;92137;ISSY LES MOLINEAUX;;
C00000002378;AMAZING PRO EVENTS;42160;ANDREZIEUX-BOUTHEON;;
C00000001166;AMC;42210;MONTROND LES BAINS;477742149;
C0026;AMERIANC DREAM;13012;Marseille;;
C00000001707;AMF;26240;STVALLIER;;
C00000001113;AMICALE BOULES;42330;ST BONNET LES OULES;;
C00000001208;AMICALE DES SAPEURS POMPIERS;42100;FEURS;;
C00000001913;AMICALE DONNEURS DE SANG;42000;SAINT ETIENNE;771608239;
C0027;AMICALE LAIQUE BEAULIEU;42100;ST ETIENNE ;;
C0028;AMICALE LAIQUE CHAPELON ;42000;ST ETIENNE ;;
C0029;AMICALE LAIQUE D'AMBIERLE;42820;AMBIERLE;477712581;
C00000001417;AMICALE LAIQUE DE TARDY;42000;SAINT-ETIENNE;477324751;
C00000002650;AMICALE LAIQUE DE TERRENOIRE;42100;SAINT ETIENNE;;
C00000002676;Amicale Laique des Groovers d'Orteils;42540;SAINT JUST LA PENDUE ;;
C00000002315;AMICALE LAIQUE DU CRET DE ROCH;42000;SAINT ETIENNE;;
C00000002549;AMICALE POMPIER DE GORDES;84220;GORDES;;
C00000002924;AMICALE SPORTIVE DE DIEMOZ;38790;DIEMOZ;;
C0941;AMICO Gilbert;38600;FONTAINE;;
C0031;AMORUSO MOTO;42100;SAINT ETIENNE;477570626;
C00000002177;AMPA;98000;MONACO;;
C00000001790;AMROSE;42000;SAINT-ETIENNE;09 83 34 93 78;
C00000002389;AMS EVENEMENT;42720;POUILLY-SOUS-CHARLIEU;672860111;
C0032;AMT PROMOTION;42350;la talaudière;683868035;
C00000001611;AMVI;42100;SAINT-ETIENNE;;
C0069;ANDEFOREZ;63120;VOLLORVILLE;473537159;
C00000002815;ANDREZIEUX DISTRIBUTION ;42160;ANDREZIEUX BOUTHEON;477021036;
C00000003189;ANEF;42100;SAINT ETIENNE;;
C0033;ANIM 15 COMMUNICATION;54048;Nancy cedex;388191515;
C00000003177;ANIM' LOISIRS;38390;PORCIEU-AMBLAGNIEU;;
C0034;ANIMATION JEUNESSE VIE ETUDIANTE;42000;SAINT ETIENNE;;
C0944;ANIMATRI;42600;MONTBRISON;;
C00000001567;ANIS Productions;43700;SAINT GERMAIN LAPRADE;;
C0127;ANPCHE;42610;SAINT-ROMAIN-LE-PUY;477760881;
C0035;ANPE;42023;SAINT-ETIENNE CEDEX 2;;
C00000001258;ANTIPASTI;42100;ST ETIENNE;;
C00000001091;ANTONELLI Alain;83200;TOULON;;
C00000001656;APE ECOLE DE LA GALOCHE;43740;LA TERRASSE SUR DORLAY;;
C00000002199;APEI PAPILLONS BLANC DE VINCENNES;94304;VINCENNES CEDEX;;
C0036;APEL DE MONTAUD;42000;ST ETIENNE ;;
C00000002876;APEL Notre Dame de St Genest Lerpt;42530;SAINT GENEST LERPT;;
C00000001508;APEL ST CHARLES;42000;ST ETIENNE;;
C00000001216;APEX NV;;BELGIUM;01 42 43 11 33;
C00000002719;API;63500;ISSOIRE;;
C0037;APIJ;42130;BOEN;477241302;
C00000002482;APM ORGANISATION;42170;SAINT JUST SAINT RAMBERT;;
C0038;APPELS;69005;LYON;472320929;06 60 33 36 48/06 07 48 36 24
C00000002278;APS MEDIA;69005;LYON;;
C0039;APTES;42340;VEAUCHE ;607565521;
C0040;ARACHNÉE CONCERTS;63800;COURNON D'AUVERGNE;473627903;
C0041;ARACHNÉE ST ETIENNE;42000;SAINT ETIENNE;477595990;
C1047;ARAGO PRODUCTIOIN;77000;MELUN;01 64 39 66 96;
C00000002375;ARAME PRODUCTION;94700;MAISONS-ALFORT;;
C0042;ARCHITECTURE & CONCEPTION  GRAPHIQU;42000;ST ETIENNE ;477411668;
C0043;ARCIS;69007;LYON;472806060;
C00000002702;ARCOMIK FESTIVAL;42100;SAINT-ETIENNE;;
C0044;ARENES DE PALAVAS LES FLOTS;34250;PALAVAS LES FLOTS;467503956;
C00000001369;ARFI;69202;LYON CEDEX 01;;
C00000002641;ARKALYA FORMATION;67300;SCHITIGHEIM;;
C0046;ARNAUD Jérome;42600;PRALONG;477970459;
C00000001470;ARNAUD YAN;42430;SAINT ROMAIN D'URFE;;
C00000002584;ARPEGE INDUSTRIE;42240;UNIEUX;477611901;
C0187;ARRACHE;13120;GARDANNE;626425309;
C0816;ART COM;75011;PARIS;140096425;
C00000001722;ART CONCEPT;42570;ST HEAND;;
C0049;ART PROD SCENES;42170;ST JUST ST RAMBERT;;ENVOI PAR MAIL
C1060;ART SCENIC;14000;CAEN;02 31 84 81 84;
C00000002988;ART'SCENIC;69124;COLOMBIER SAUGNIEU;;
C00000001962;ARTEMIS DIFFUSION;75018;PARIS;;
C00000002727;ARTIERES Marc;42100;SAINT ETIENNE;;
C0050;Artisans du Monde;42000;Saint-Etienne;672744810;
C00000001789;ARTIST'AUDIO;42240;UNIEUX;;ENVOI FACTURE PAR MAIL
C0572;ARTISTES MEDIA;69003;LYON;478547884;
C0052;ARTISTESTEPHANOIS;42100;ST ETIENNE ;688829074;
C0890;ARTISTIC M.C.;75011;PARIS;;
C00000001364;ARTISTIC PRODUCTION;33100;BORDEAUX;556324078;
C00000002305;ARTS ET MUSIQUES EN LOIRE FOREZ;42600;MONTBRISON;477960459;
C00000002514;ARTS SCENES PRODUCTIONS;43000;ESPALY SAINT MARCEL;;
C00000002758;ARTSCENE-FRANCE;34450;VIAS;;
C00000001938;AS MECA BERNARD;42530;SAINT GENEST LERPT;04 77 37 78 88;
C00000001725;ASANS;75008;PARIS;;
C00000002488;ASAP PROD;42170;SAINT JUST ST RAMBERT;953800424;
C00000001105;ASC LOISIRS;42100;SAINT-ETIENN;;
C00000001491;ASE PRODUCTION;7700;SAINT MARCEL D'ARDECHE;;
C00000001887;ASF ANDREZIEUX BOUTHEON;42160;ANDREZIEUX BOUTHEON;04 77 55 38 13;
C00000001676;ASGCV SAINTE CENTRE VILLE;42100;SAINT-ETIENNE;477328815;
C00000002098;ASLC PRODUCTION;75017;PARIS;;
C0053;ASM COMMUNICATION;42160;ANDREZIEUX-BOUTHEON;;
C00000002289;Asoociation MOUV'ASSO JEUNE;;;;
C00000001061;Asoociation Personnel PPDC;42952;SAINT ETIENNE CEDEX 1;;
C00000002182;ASP MISTRAL;83640;SAINT ZACHARIE;;
C00000001703;ASPF;42100;ST ETIENNE;;
C00000002530;ASS. DEPART. DES FRANCAS DE LA LOIRE;42015;SAINT-ETIENNE CEDEX 2;;
C00000001157;ASS.SYNAPSE;42000;ST ETIENNE;;
C00000001298;ASSBO;42330;ST BONNET LES OULES;04 77 52 53 65;
C00000003211;ASSE COEUR VERT;42580;L'ETRAT;;
C00000001837;ASSO 42;42000;SAINT-ETIENNE;;
C00000002330;ASSO 42;;;;
C00000001219;ASSO FAY E RIE;42;ST JEAN BONNEFOND;;
C0512;ASSO LE CAR EN TROIX;43120;MONISTROL SUR LOIRE;;
C00000002984;Asso Pentatête;3120;LAPALISSE;;
C00000003316;Associantion ARCANGELO ALSACE;68650;LAPOUTROIE;;
C00000002136;ASSOCIATION  CENTRE DANSE;43000;LE PUY EN VELAY;;
C00000002373;ASSOCIATION  LA BOITE A MEUH;42320;SAINT CHRISTO EN JAREZ;;
C00000002490;Association  LA LAVERIE;42100;SAINT-ETIENNE;;
C00000001138;Association 3,14;42;RIORGES;;
C00000001830;ASSOCIATION 42 SOURIRES D ENFANTS;42055;SAINT-ETIENNE;;
C00000001823;Association 42MEEPLES;42000;SAINT-ETIENNE;;
C00000002588;ASSOCIATION 4R'AIDES;42170;ST JUST ST RAMBERT;664045944;
C00000002473;ASSOCIATION ACHBAROU;42000;SAINT ETIENNE;;
C00000002567;ASSOCIATION ADADIFF/CASI;84000;AVIGNON;;
C00000003243;Association AEM;42320;ST CHRISTO EN JAREZ;;
C00000002426;Association AFR;42300;MABLY;;
C00000002079;ASSOCIATION AGHBALA ET SES AMIS;42000;SAINT-ETIENNE;;
C00000002372;ASSOCIATION AGM;42023;SAINT ETIENNE CEDEX 2;;
C00000002550;ASSOCIATION ALAMOURAK;42000;SAINT ETIENNE;;
C00000002724;Association ALFK;42100;SAINT ETIENNE;;
C00000002923;Association ALIEN THEORY;43120;MONISTROL-SUR-LOIRE;;
C00000002965;Association AMAE;11270;LA FORCE;;
C00000002582;Association AMD Monts en Musique;42220;BOURG ARGENTAL;;
C00000001918;Association AMEA;42400;ST-CHAMOND;04 77 19 48 81;
C00000002828;ASSOCIATION ANACROUSE;42300;ROANNE;;
C00000001841;ASSOCIATION ANDEOL;1500;AMBERIEUX EN BUGET;;
C00000001180;Association AOI;42000;SAINT-ETIENNE;;
C00000002275;Association APAUSECHROCHE;43290;MONTFAUCON;;
C00000003317;Association Arcangelo Alsace;68650;LAPOUTROIE;;
C00000000981;Association ARISTIPPE;42600;MONTBRISON;;
C00000002096;Association ART ET CULTURE;42260;POMMIERS;;
C00000001698;Association ART MUSICAL;85130;LA VERRIE;;
C00000002321;ASSOCIATION ARTS TRACKERS;26240;ST BARTHELEMY DE VALS;;
C00000002863;Association Ascidiacea;92700;COLOMBES;;
C00000001273;Association BAC;43210;BAS EN BASSET;;
C00000002216;ASSOCIATION BALLET 21;42100;SAINT ETIENNE;628521028;
C00000002073;Association BASKET FRANCHEVILLE;69340;FRANCHEVILLE;;
C00000002011;ASSOCIATION BEDOIN'S CO;43140;SAINT DIDIER EN VELAY;;
C00000001232;Association BERBERE 42;42100;SAINT-ETIENNE;;
C00000002334;Association BLACK CLOARD PRODUCTION;38080;SAINT ALBAN LA ROCHE;;
C00000003303;Association Boulevard du Crépuscule;42000;SAINT ETIENNE;;
C00000001696;ASSOCIATION BROK ET ZIK;26000;LORIOL;;
C00000002438;ASSOCIATION CAP DANSE;42350;LA TALAUDIERE;;
C00000002249;association CAPITO FEIST;43260;SAINT JULIEN CHAPTEUIL;;
C00000002223;ASSOCIATION CATS BOOTS;42400;SAINT CHAMOND;;
C00000003125;Association CESSE;;;;
C00000002323;ASSOCIATION CHAPIRAVI;43130;RETOURNAC;;
C00000003230;Association CHOEUR LES AMIS RÉUNIS;42 000;ST ETIENNE;;
C00000002044;ASSOCIATION CHORALE DE VEAUCHE;42340;VEAUCHE;;
C00000002980;Association CIEL EN FETE;43520;MAZET -SAINT-VOY;;
C00000003260;Association CIEL EN FETE;;;;
C00000002041;Association CLUB DES JEUNES DE LAPTE;43200;LAPTE;;
C00000002201;Association Club Des Jeunes de St Sigolene;43600;SAINTE -SIGOLENE;;
C00000002169;ASSOCIATION COACS;69005;LYON;;
C00000002519;Association CODA;69490;SAINT ROMAIN DE POPEY;;
C00000001102;Association Confluences;43330;PONT SALOMON;;
C00000001062;association contreallee.org;42300;ROANNE;;
C00000002232;ASSOCIATION COTE COULISSE;43200;SAINT MAURICE DE LIGNON;;
C00000003237;Association CÔTÉ COUR;42340;VEAUCHE;;
C00000001543;ASSOCIATION COXA PLANA;42100;SAINT-ETIENNE;;
C0895;Association Créatures;42000;SAINT_ETIENNE;;
C00000002580;Association Crossed Lab;69003;LYON;;
C00000002905;Association Culturel Kabyle TAFAT;38200;VIENNE;;
C0181;Association Culturel Theatre;42160;Andrezieux Boutheon;;
C00000003226;Association DANSE LA POLE;42230;ROCHE LA MOLIERE;;
C00000002981;Association de Défense des Animaux;42400;SAINT-CHAMOND;;
C00000003328;Association de financement de la campagne électorale de Marc CHASSAUBÉNE;42100;ST ETIENNE;;
C00000002657;ASSOCIATION DE OUFF;42000;SAINT-ETIENNE;684014619;
C00000002061;Association DELTAMAX;42000;SAINT-ETIENNE;;
C00000001590;Association Des Amis Du Musée d'Art et d'Industrie de Saint-Etienne;42026;SAINT-ETIENNE CEDEX 1;;
C00000003296;Association des Commercants Charité Bellecour;69002;LYON;;
C00000001522;Association des commercants de L'Etrat;42580;L'ETRAT;;
C00000001333;Association des Commercants de Montreynaud;42000;SAINT-ETIENNE;;
C00000002213;Association des commerçants de Saint-Didier;;;;
C00000001518;ASSOCIATION DES FAMILLES DE FARNAY;42320;FARNAY;;
C00000002675;Association des Marchés d'Eté des Producteurs;43620;ST ROMAIN LACHALM;;
C00000001119;ASSOCIATION DES MEMBRES DE L ORDRE DES PALMES ACADEMIQUE;42100;SAINT-ETIENNE;;
C00000002100;Association DES PIEDS DES MAINS;43200;YSSINGEAUX;;
C00000002018;Association des Professeurs du Conservatoire du puy;43000;LE PUY EN VELAY;;
C00000002369;ASSOCIATION DESCARGUITA;42500;LE CHAMBON FEUGEROLLES;;
C00000003246;Association DINO'S EVENEMENTIEL;42230;ROCHE LA MOLIERE;;
C00000002639;Association Diocésiane de Saint Etienne;42030;SAINT-ETIENNE;;
C00000001086;ASSOCIATION DON DE VIE;42000;SAINT-ETIENNE;;
C00000002371;ASSOCIATION DROMERS;26200;MONTELIMAR;;
C00000002326;ASSOCIATION DU VIEUX ST JUST ST RAMBERT;42170;SAINT JUST SAINT RAMBERT;;
C00000003178;ASSOCIATION ECAUSSYTEME;46600 GIGN;;565326905;
C00000003188;Association EGLISE DUNAMIS SAINT ETIENNE;42000;SAINT ETIENNE;;
C00000002276;Association EKO;26340;AUREL;;
C00000003119;Association EMMAUS;42230;ROCHE LA MOLIERE;;
C00000002149;ASSOCIATION EN MARCHE;42000;SAINT-ETIENNE;;
C00000001919;Association EN ROOTS VERS ANNEYRON;26140;ANNEYRON;;
C00000002891;Association Eqnumies-Marie Leblanc;69280;MARCY L'ETOILE;;
C00000003275;Association EuRHoMillions;69280;MARCY L ETOILE ;;
C00000001950;ASSOCIATION EXBRAYAT;42660;PLANFOY;477514169;
C00000001838;ASSOCIATION EYWAH;42380;ST BONNET LE CHATEAU;06 10 16 09 61;
C00000001103;Association FAUT QU CA SCENE;42140;CHAZELLE SUR LYON;;
C00000001305;Association FEED BACK;42600;CHAMPDIEU;;
C00000002133;Association Fêtes et Animations;43700;BRIVES CHARENSAC;;
C00000002190;ASSOCIATION FETES ET ANIMATIONS BRIVES CHARENSAC;43700;BRIVES CHARENSAC;;
C00000003059;ASSOCIATION FULL GROOVE;42100;SAINT ETIENNE;;
C00000001748;Association FZL;42130;TRELINS;;
C00000002265;Association FZM;42680;SAINT MARCELLIN EN FOREZ;;
C00000001923;ASSOCIATION GAVROCHE;70000;VESOUL;;
C00000003102;Association GENI.A.L;42800;GENILAC;;
C00000002793;ASSOCIATION GOOD LIFE;42530;SAINT GENEST LERPT;;
C00000001203;Association HADRA;38000;GRENOBLE;;
C00000002260;ASSOCIATION HAPPY COFFINS7;42120;LE COTEAU;;
C00000003109;Association HMONG AVENIR;38440;SAINT JEAN DE BOURNAY;;
C00000001510;ASSOCIATION HUMANITAIRE SOURIRE AIMER;42160;ANDREZIEUX-BOUTHEON;04 77 36 72 18;
C00000002084;ASSOCIATION ICLAS;42270;ST PRIEST EN JAREZ;;
C00000002251;Association Inka Pan Flûte;42290;SORBIERS;622213440;
C00000002053;Association J'ARTS'AIR;69590;LARAJASSE;;
C00000003219;Association JARDINIERES D IMAGINAIRES ;42 100;SAINT ETIENNE;;
C00000001281;Association Jazz Au Sommet;42660;SAINT GENEST MALIFAUX;;
C00000001473;ASSOCIATION JAZZELLES FESTIVAL;42140;CHAZELLES SUR LYON;;
C00000002077;ASSOCIATION JE TU NOUS;;;;
C00000002198;ASSOCIATION K.MI.SOL;1280;PREVESSIN-MOENS;;
C0885;Association Kalänn;42320;SAINT-CHRISTO EN JAREZ;;
C00000001994;ASSOCIATION KILLIAN;42740;DOIZIEUX;;
C00000001153;ASSOCIATION KISS'BALADE;69001;LYON;06 87 48 97 75;
C00000002509;ASSOCIATION KOCLAYM;63510;AULNAT;;
C00000002131;Association KOOLOS OF BANDE;42300;ROANNE;;
C00000001359;Association L ART ET LA TANIERE;42800;RIVE DE GIER;;
C00000002236;ASSOCIATION L'ENCLUME LIGERIENNE;42100;SAINT ETIENNE;;
C00000003271;Association l'Oasis;43270;MONLET ;;
C00000003286;ASSOCIATION L'OLIVIER DU GIER ;42800;RIVE DE GIER;;
C00000002635;Association LA BOITE A MEUH;42320;SAINT CHRISTO EN JAREZ;;
C00000003245;Association La Distillerie;42820;AMBIERLE;;
C00000001997;ASSOCIATION LA FABRIK;69590;POMEYS;;
C00000002081;Association LA FABRIK 235;69590;SAINT SYMPHORIEN SUR COISE;;
C00000002416;ASSOCIATION LA FANFARE L ETOILE;69930;SAINT CLEMENT LES PLACES;;
C00000002643;Association LA Guinguette du CHASSEZAC;7140;LES ASSIONS;;
C00000002735;Association LA LAVERIE;42100;SAINT ETIENNE;;
C0860;Association LA MAD;43140;SAINT-DIDIER EN VELAY;;
C00000003262;Association LA MAD JACQUES;;;;
C00000002271;Association LA PRATOS CORP;42000;SAINT-ETIENNE;;
C00000003325;Association La Récré;42140;PELUSSIN;;
C00000001708;Association la Ruée vers l 'art;7360;LES OLLIERES SUR EYRIEUX;;
C00000001483;Association LA RUEE VERS L ART;7230;LES OLLIERES;;
C00000001849;Association La Saône SWINGUE;1480;FAREINS;;
C00000001372;Association la TAWA;42660;PLANFOY;;
C00000001506;ASSOCIATION LAÏQUE;42800;ST MARTIN LA PLAINE;;
C00000001379;Association LAIQUE DE ST MARTIN LA PLAINE;42800;SAINT MARTIN LA PLAINE;;
C00000001110;Association LAISSE LE BON TEMPS ROULER;42800;RIVE DE GIER;;
C00000003063;Association LE BAC ;43210;BAS EN BASSET;;
C00000003338;Association Le CASBA;42380;ESTIVAREILLES;;
C00000003046;Association LE CHANT DES PISTES;38000;GRENOBLE;;
C0813;Association le CLIMAX;43220;RIOTORD;;
C00000002930;Association LE MARATHON DE LA BIERE;42600;MONTBRISON;;
C00000002057;ASSOCIATION LE PAPILLON BLEU;42300;ROANNE;;
C00000002744;Association LE SIS;42100;SAINT ETIENNE;;
C00000001860;association le zebre etoile;42153;ROANNE;;
C00000001481;Association LES AMIS DE L'HUMALOIRE;42100;SAINT-ETIENNE;;
C00000003039;Association Les Amis des Petits Robins;26260;LIVRON SUR RHONE;;
C00000003163;Association LES AMIS DES PETITS ROBINS;;;;
C00000001415;association LES BARABANS;42660;PLANFOY;;
C00000002280;Association LES BRUMES;43600;SAINTE SIGOLENE;;
C00000002810;Association LES CANUTS DES CANITS;69004;LYON;;
C00000002256;Association LES CARREMENTS FOU;42320;FARNAY;;
C00000003020;Association LES CHAUDS SONS;42000;SAINT-ETIENNE;;
C00000002294;ASSOCIATION LES COPAINS DE 97;43210;BAS EN BASSET;;
C00000002307;ASSOCIATION LES CRIS DU QUARTIER;42000;SAINT-ETIENNE;;
C00000002921;Association LES MAD JACQUES;;;;
C00000001900;Association LES MONTS DE LA BALLE;42600;VERRIERES EN FOREZ;477762806;
C00000002628;Association Les Nuits de la Roulotte;73000;CHAMBERY;;
C00000002283;Association LES OGRES;7400;ALBA LA ROMAINE;;
C00000002500;ASSOCIATION LES OGRES;;;;
C00000002290;ASSOCIATION LES OLIBRIUS;42100;SAINT-ETIENNE;;
C00000002459;Association les OREILLES EN POINTE;42100;SAINT-ETIENNE;;
C00000002679;Association Les Papiers Peintre;42000;SAINT ETIENNE;;
